title,filename,size_bytes,caption
Tel Aviv University,TAU_Logo_HomePage_Eng.png,13.3 KB,"Concentrating in innovation, technology, and global leadership at Tel Aviv University."
Arizona State University,arizona-state-university-logo.png,18.7 KB,"Concentrating in sustainability, innovation, and leadership at Arizona State University."
Grand Canyon University,grand%20canyon%20university%20logo%20on%20stage-042823.0024.webp,24 KB,"Concentrating in business, leadership, and community development at Grand Canyon University."
Northern Airizona University,image.webp,12.4 KB,"Concentrating in environmental studies, leadership, and sustainability at Northern Arizona University."
Embry Riddle,embry-riddle-aeronautical-university-logo-png-transparent.png,30 KB,"Concentrating in aerospace engineering, aviation, and technology at Embry-Riddle Aeronautical University."
Ottowa University,istockphoto-2166687418-612x612.jpg,"73.2 KB","Concentrating in international relations, public policy, and global leadership at the University of Ottawa."
University Of Virginia,University-of-Virginia-Logo.png,28.2 KB,"Concentrating in public policy, leadership, and civic engagement at the University of Virginia."
University Of Oregon,uo-logo-green-gray-800x250.webp,8.33 KB,"Concentrating in environmental studies, sustainability, and innovation at the University of Oregon."
University Of Maryland,University-of-Maryland-Logo-500x281.webp,11.7 KB,"Concentrating in business, technology, and innovation at the University of Maryland."
Ohio State,61487c81d329bb0004dbd32f.webp,8.74 KB,"Concentrating in business, leadership, and innovation at Ohio State University."
